name,rating,snippet,temp_text,stemmed_text,tokenized_text,cleaned_text
Nindyo Yuwono,4.0,"Kampus para mahasiswa teknik menimba ilmu tapi fakultas tekniknya  bukan cuma jurusan elektro aja ya tapi memang fokus utamanya lebih banyak untuk mendukung usaha kelistrikan PLN dgn motto ""masa depan bidang energi itu jelas kelistrikan dan pilarnya adalah IT PLN"" kata pak Darmawan Prasojo, dirut PLN",kampus mahasiswa teknik menimba ilmu fakultas tekniknya jurusan elektro ya fokus utamanya mendukung usaha kelistrikan pln motto bidang energi kelistrikan pilarnya it pln darmawan prasojo dirut pln,kampus mahasiswa teknik timba ilmu fakultas teknik jurus elektro ya fokus utama dukung usaha listrik pln motto bidang energi listrik pilar it pln darmawan prasojo dirut pln,"['kampus', 'mahasiswa', 'teknik', 'timba', 'ilmu', 'fakultas', 'teknik', 'jurus', 'elektro', 'ya', 'fokus', 'utama', 'dukung', 'usaha', 'listrik', 'pln', 'motto', 'bidang', 'energi', 'listrik', 'pilar', 'it', 'pln', 'darmawan', 'prasojo', 'dirut', 'pln']","['kampus', 'mahasiswa', 'teknik', 'timba', 'ilmu', 'fakultas', 'teknik', 'jurus', 'elektro', 'ya', 'fokus', 'utama', 'dukung', 'usaha', 'listrik', 'pln', 'motto', 'bidang', 'energi', 'listrik', 'pilar', 'it', 'pln', 'darmawan', 'prasojo', 'dirut', 'pln']"
Muhammad Fanani Hafifudin,2.0,"Untuk sekarang kampus udah bagus, banyak fasilitas yang sudah memadai. Alangkah baiknya dengan majunya fasilitas ini diimbangi dengan kinerja para staf dan dosen yang bekerja disini. Agar antara mahasiswa dan staf bisa memberikan pelayanan yang terbaik. Terutama staf fakultas yang jutek dan kadang menyepelekan kebutuhan mahasiswa. Hal ini sangat menganggu saya diwaktu saya mengurus administrasi baik untuk sidang maupun wisuda. Tolong lebih di upgrade lagi lah pelayanannya, kasian kampus dah bagus bagus tapi kalau pelayanannya kureng buat apa. Kurangi pungli pungli yang di dalam kampus sihh, sayang banget kalau sekelas kampus IT PLN di dalemnya masih ada yang nyuruh beli ini itu demi nilai bagus nanti di anjungannya. Untuk dosen sudah bagus, namun masih banyak oknum” yang mencoreng nama bagus dosen. Ada yang gak pernah masuk dan juga ada yang tiba tiba masuk waktu UAS nyruh beli buku, kalau gak beli gk dpt nili bagus 😂. Semoga apresiasi dan kritik ini menjadi bahan pertimbangan staf dan dosen dikampus ini meningkat.",kampus udah bagus fasilitas memadai alangkah baiknya majunya fasilitas diimbangi kinerja staf dosen mahasiswa staf pelayanan terbaik staf fakultas jutek kadang menyepelekan kebutuhan mahasiswa menganggu diwaktu mengurus administrasi sidang wisuda tolong upgrade pelayanannya kasian kampus dah bagus bagus pelayanannya kureng kurangi pungli pungli kampus sihh sayang banget sekelas kampus it pln dalemnya nyuruh beli nilai bagus anjungannya dosen bagus oknum mencoreng nama bagus dosen masuk masuk uas nyruh beli buku beli gk nili bagus semoga apresiasi kritik bahan pertimbangan staf dosen dikampus meningkat,kampus udah bagus fasilitas pada alangkah baik maju fasilitas imbang kerja staf dosen mahasiswa staf layan baik staf fakultas jutek kadang sepele butuh mahasiswa menganggu waktu urus administrasi sidang wisuda tolong upgrade layan kasi kampus dah bagus bagus layan reng kurang pungli pungli kampus sihh sayang banget kelas kampus it pln dalem nyuruh beli nilai bagus anjung dosen bagus oknum coreng nama bagus dosen masuk masuk uas nyruh beli buku beli gk nili bagus moga apresiasi kritik bahan timbang staf dosen kampus tingkat,"['kampus', 'udah', 'bagus', 'fasilitas', 'pada', 'alangkah', 'baik', 'maju', 'fasilitas', 'imbang', 'kerja', 'staf', 'dosen', 'mahasiswa', 'staf', 'layan', 'baik', 'staf', 'fakultas', 'jutek', 'kadang', 'sepele', 'butuh', 'mahasiswa', 'menganggu', 'waktu', 'urus', 'administrasi', 'sidang', 'wisuda', 'tolong', 'upgrade', 'layan', 'kasi', 'kampus', 'dah', 'bagus', 'bagus', 'layan', 'reng', 'kurang', 'pungli', 'pungli', 'kampus', 'sihh', 'sayang', 'banget', 'kelas', 'kampus', 'it', 'pln', 'dalem', 'nyuruh', 'beli', 'nilai', 'bagus', 'anjung', 'dosen', 'bagus', 'oknum', 'coreng', 'nama', 'bagus', 'dosen', 'masuk', 'masuk', 'uas', 'nyruh', 'beli', 'buku', 'beli', 'gk', 'nili', 'bagus', 'moga', 'apresiasi', 'kritik', 'bahan', 'timbang', 'staf', 'dosen', 'kampus', 'tingkat']","['kampus', 'udah', 'bagus', 'fasilitas', 'pada', 'alangkah', 'baik', 'maju', 'fasilitas', 'imbang', 'kerja', 'staf', 'dosen', 'mahasiswa', 'staf', 'layan', 'baik', 'staf', 'fakultas', 'jutek', 'kadang', 'sepele', 'butuh', 'mahasiswa', 'menganggu', 'waktu', 'urus', 'administrasi', 'sidang', 'wisuda', 'tolong', 'upgrade', 'layan', 'kasi', 'kampus', 'dah', 'bagus', 'bagus', 'layan', 'reng', 'kurang', 'pungli', 'pungli', 'kampus', 'sihh', 'sayang', 'banget', 'kelas', 'kampus', 'it', 'pln', 'dalem', 'nyuruh', 'beli', 'nilai', 'bagus', 'anjung', 'dosen', 'bagus', 'oknum', 'coreng', 'nama', 'bagus', 'dosen', 'masuk', 'masuk', 'uas', 'nyruh', 'beli', 'buku', 'beli', 'gk', 'nili', 'bagus', 'moga', 'apresiasi', 'kritik', 'bahan', 'timbang', 'staf', 'dosen', 'kampus', 'tingkat']"
Hafizh Hilman Asyhari,5.0,"Sangat cocok untuk abis SMA belajar teknik kelistrikan, setiap Fakultas tuh ya punya banyak laboratorium yg modern sesuai perkembangan teknologi modern.",cocok abis sma belajar teknik kelistrikan fakultas tuh ya laboratorium modern sesuai perkembangan teknologi modern,cocok abis sma ajar teknik listrik fakultas tuh ya laboratorium modern sesuai kembang teknologi modern,"['cocok', 'abis', 'sma', 'ajar', 'teknik', 'listrik', 'fakultas', 'tuh', 'ya', 'laboratorium', 'modern', 'sesuai', 'kembang', 'teknologi', 'modern']","['cocok', 'abis', 'sma', 'ajar', 'teknik', 'listrik', 'fakultas', 'tuh', 'ya', 'laboratorium', 'modern', 'sesuai', 'kembang', 'teknologi', 'modern']"
The Scrivener's Presenter Global,5.0,"Ruang kelas bagus. Ada fasilitas yg mumpuni

Juga ada jurusan baru jadi lebih banyak dan lengkap kayak
S1 Teknik Lingkungan
S1. Geografi
S1. Teknik Sistem Energi
S1. Rekayasa Keamanan Siber
S1. Kendaraan Listrik

S2. Teknik Sipil
S2 Ilmu Komputer
S2 Teknik Mesin",ruang kelas bagus fasilitas mumpuni jurusan lengkap kayak s1 teknik lingkungan s1 geografi s1 teknik sistem energi s1 rekayasa keamanan siber s1 kendaraan listrik s2 teknik sipil s2 ilmu komputer s2 teknik mesin,ruang kelas bagus fasilitas mumpuni jurus lengkap kayak s1 teknik lingkung s1 geografi s1 teknik sistem energi s1 rekayasa aman siber s1 kendara listrik s2 teknik sipil s2 ilmu komputer s2 teknik mesin,"['ruang', 'kelas', 'bagus', 'fasilitas', 'mumpuni', 'jurus', 'lengkap', 'kayak', 's1', 'teknik', 'lingkung', 's1', 'geografi', 's1', 'teknik', 'sistem', 'energi', 's1', 'rekayasa', 'aman', 'siber', 's1', 'kendara', 'listrik', 's2', 'teknik', 'sipil', 's2', 'ilmu', 'komputer', 's2', 'teknik', 'mesin']","['ruang', 'kelas', 'bagus', 'fasilitas', 'mumpuni', 'jurus', 'lengkap', 'kayak', 's1', 'teknik', 'lingkung', 's1', 'geografi', 's1', 'teknik', 'sistem', 'energi', 's1', 'rekayasa', 'aman', 'siber', 's1', 'kendara', 'listrik', 's2', 'teknik', 'sipil', 's2', 'ilmu', 'komputer', 's2', 'teknik', 'mesin']"
MUHAMMAD RIZKY,5.0,"Kampus kesayangan. Mudah dijangkau karna terlihat dengan sangat jelas dari tol dan dari jalanan biasa. Semoga selalu maju ya dan lekas ganti jadi ITT-PLN. Banyak kenangan dan pelajaran berharga didapat dari kampus ini. Alat alat pendukung praktek tergolong lengkap. Karna memang masih yayasan PLN, mungkin alat ketenagalistrikan yang lengkap ini di dapat dari PLN itu sendiri (hibah?). 😊👍",kampus kesayangan mudah dijangkau karna tol jalanan semoga maju ya lekas ganti ittpln kenangan pelajaran berharga kampus alat alat pendukung praktek tergolong lengkap karna yayasan pln alat ketenagalistrikan lengkap pln hibah ,kampus sayang mudah jangkau karna tol jalan moga maju ya lekas ganti ittpln kenang ajar harga kampus alat alat dukung praktek golong lengkap karna yayasan pln alat ketenagalistrikan lengkap pln hibah,"['kampus', 'sayang', 'mudah', 'jangkau', 'karna', 'tol', 'jalan', 'moga', 'maju', 'ya', 'lekas', 'ganti', 'ittpln', 'kenang', 'ajar', 'harga', 'kampus', 'alat', 'alat', 'dukung', 'praktek', 'golong', 'lengkap', 'karna', 'yayasan', 'pln', 'alat', 'ketenagalistrikan', 'lengkap', 'pln', 'hibah']","['kampus', 'sayang', 'mudah', 'jangkau', 'karna', 'tol', 'jalan', 'moga', 'maju', 'ya', 'lekas', 'ganti', 'ittpln', 'kenang', 'ajar', 'harga', 'kampus', 'alat', 'alat', 'dukung', 'praktek', 'golong', 'lengkap', 'karna', 'yayasan', 'pln', 'alat', 'ketenagalistrikan', 'lengkap', 'pln', 'hibah']"
Si Jabat,2.0,"Apakah benar klo lulusan itpln gampang cari kerja, apa dicari dari kampus nya. ?",klo lulusan itpln gampang cari kerja dicari kampus,klo lulus itpln gampang cari kerja cari kampus,"['klo', 'lulus', 'itpln', 'gampang', 'cari', 'kerja', 'cari', 'kampus']","['klo', 'lulus', 'itpln', 'gampang', 'cari', 'kerja', 'cari', 'kampus']"
Aprida Siahaan,1.0,"UKT ELIT ANJUNGAN SULIT.
1. perubahan password harus hubungin admin dulu, padahal dulu perubahan password bisa dari anjungan dan dilakukan sendiri oleh mahasiswa pemilik anjungan, kalau si admin yang ubah itu namanya BUKAN PASSWORD.
2. Masalah biaya cicilan semester yang tidak jelas, tidak ada info dianjungannya berapa perbulan dan dari tanggal berapa ke berapa pembayarannya (TIDAK ADA!) semuanya sistem manual harus diinput dulu berapa angkanya, RIBET! Inikan kelas karyawan, waktunya bisa kuliah bisa kerja! Mana lah inget bayar kuliah kapan ke kapan, dikasih saran malah ngelunjak, bukannya mau nerima saran dan perbaiki sistem jadi lebih baik! Bad bgt pelayanan it pln sekarang ini!",ukt elit anjungan sulit 1 perubahan password hubungin admin perubahan password anjungan mahasiswa pemilik anjungan si admin ubah namanya password 2 biaya cicilan semester info dianjungannya perbulan tanggal pembayarannya sistem manual diinput angkanya ribet inikan kelas karyawan kuliah kerja inget bayar kuliah dikasih saran ngelunjak nerima saran perbaiki sistem bad banget pelayanan it pln,ukt elit anjung sulit 1 ubah password hubungin admin ubah password anjung mahasiswa milik anjung si admin ubah nama password 2 biaya cicil semester info anjung bulan tanggal bayar sistem manual diinput angka ribet ini kelas karyawan kuliah kerja inget bayar kuliah kasih saran ngelunjak nerima saran baik sistem bad banget layan it pln,"['ukt', 'elit', 'anjung', 'sulit', '1', 'ubah', 'password', 'hubungin', 'admin', 'ubah', 'password', 'anjung', 'mahasiswa', 'milik', 'anjung', 'si', 'admin', 'ubah', 'nama', 'password', '2', 'biaya', 'cicil', 'semester', 'info', 'anjung', 'bulan', 'tanggal', 'bayar', 'sistem', 'manual', 'diinput', 'angka', 'ribet', 'ini', 'kelas', 'karyawan', 'kuliah', 'kerja', 'inget', 'bayar', 'kuliah', 'kasih', 'saran', 'ngelunjak', 'nerima', 'saran', 'baik', 'sistem', 'bad', 'banget', 'layan', 'it', 'pln']","['ukt', 'elit', 'anjung', 'sulit', '1', 'ubah', 'password', 'hubungin', 'admin', 'ubah', 'password', 'anjung', 'mahasiswa', 'milik', 'anjung', 'si', 'admin', 'ubah', 'nama', 'password', '2', 'biaya', 'cicil', 'semester', 'info', 'anjung', 'bulan', 'tanggal', 'bayar', 'sistem', 'manual', 'diinput', 'angka', 'ribet', 'ini', 'kelas', 'karyawan', 'kuliah', 'kerja', 'inget', 'bayar', 'kuliah', 'kasih', 'saran', 'ngelunjak', 'nerima', 'saran', 'baik', 'sistem', 'bad', 'banget', 'layan', 'it', 'pln']"
Irvan Adianto,1.0,"ANAK2 KULIAH DISINI RATA2 GK PUNYA ATTITUDE, TIAP MALAM NGUMPUL TERIAK2 SEOLAH2 DIKIRA DIKAMPUNG BAPAKNYA...Otaknya pd konslet kali ya, TIAP TAHUN RATA2 BEGITU...GAK CEWEK, GAK COWOK SAMA AJA...PADA GAK PUNYA ETIKA, PADA SONGONG",anak2 kuliah rata2 gk attitude malam ngumpul teriak2 seolah2 dikampung bapaknyaotaknya konslet kali ya rata2 begitugak cewek cowok ajapada etika songong,anak2 kuliah rata2 gk attitude malam ngumpul teriak2 seolah2 kampung bapaknyaotaknya konslet kali ya rata2 begitugak cewek cowok ajapada etika songong,"['anak2', 'kuliah', 'rata2', 'gk', 'attitude', 'malam', 'ngumpul', 'teriak2', 'seolah2', 'kampung', 'bapaknyaotaknya', 'konslet', 'kali', 'ya', 'rata2', 'begitugak', 'cewek', 'cowok', 'ajapada', 'etika', 'songong']","['anak2', 'kuliah', 'rata2', 'gk', 'attitude', 'malam', 'ngumpul', 'teriak2', 'seolah2', 'kampung', 'bapaknyaotaknya', 'konslet', 'kali', 'ya', 'rata2', 'begitugak', 'cewek', 'cowok', 'ajapada', 'etika', 'songong']"
Cahyana Wiyana,5.0,"Lokasi mudah dijangkau,  mahasiswa dari Sabang sampai Merauke",lokasi mudah dijangkau mahasiswa sabang merauke,lokasi mudah jangkau mahasiswa sabang merauke,"['lokasi', 'mudah', 'jangkau', 'mahasiswa', 'sabang', 'merauke']","['lokasi', 'mudah', 'jangkau', 'mahasiswa', 'sabang', 'merauke']"
Aldian Rahman,5.0,Kampus kecil yang menjadikan mahasiswa menjadi orang orang hebat nantinya di bidang kelistrikan indonesia,kampus menjadikan mahasiswa orang orang hebat bidang kelistrikan indonesia,kampus jadi mahasiswa orang orang hebat bidang listrik indonesia,"['kampus', 'jadi', 'mahasiswa', 'orang', 'orang', 'hebat', 'bidang', 'listrik', 'indonesia']","['kampus', 'jadi', 'mahasiswa', 'orang', 'orang', 'hebat', 'bidang', 'listrik', 'indonesia']"
maryudi yuanto,5.0,"Sekolah Tinggi Teknik PLN
S2 Teknik Elektro
S1 Tenik Elektro
S1 Teknik Informatika
S1 Teknik Mesin
S1 Teknik Sipil
DIII Teknik Elektro
DIII Teknik Mesin",sekolah teknik pln s2 teknik elektro s1 tenik elektro s1 teknik informatika s1 teknik mesin s1 teknik sipil diii teknik elektro diii teknik mesin,sekolah teknik pln s2 teknik elektro s1 tenik elektro s1 teknik informatika s1 teknik mesin s1 teknik sipil diii teknik elektro diii teknik mesin,"['sekolah', 'teknik', 'pln', 's2', 'teknik', 'elektro', 's1', 'tenik', 'elektro', 's1', 'teknik', 'informatika', 's1', 'teknik', 'mesin', 's1', 'teknik', 'sipil', 'diii', 'teknik', 'elektro', 'diii', 'teknik', 'mesin']","['sekolah', 'teknik', 'pln', 's2', 'teknik', 'elektro', 's1', 'tenik', 'elektro', 's1', 'teknik', 'informatika', 's1', 'teknik', 'mesin', 's1', 'teknik', 'sipil', 'diii', 'teknik', 'elektro', 'diii', 'teknik', 'mesin']"
Arif Febrianto,5.0,Sekolah khusus untuk teknik listrik terutama arus kuat..,sekolah khusus teknik listrik arus kuat,sekolah khusus teknik listrik arus kuat,"['sekolah', 'khusus', 'teknik', 'listrik', 'arus', 'kuat']","['sekolah', 'khusus', 'teknik', 'listrik', 'arus', 'kuat']"
Sinung Abie,5.0,"Biaya kuliahnya mahal. Belum tentu semua mahasiswa/i masuk dalam kelas kerjasama PLN,PJB,IP. karena akan direkrut di pertengahan semester bukan dari awal kita masuk, jadi terkesan PHP. kedepannya lebih baik fokusin untuk kelas kerjasama saja.",biaya kuliahnya mahal mahasiswai masuk kelas kerjasama plnpjbip direkrut pertengahan semester masuk terkesan php kedepannya fokusin kelas kerjasama,biaya kuliah mahal mahasiswa masuk kelas kerjasama plnpjbip rekrut tengah semester masuk kes php depan fokusin kelas kerjasama,"['biaya', 'kuliah', 'mahal', 'mahasiswa', 'masuk', 'kelas', 'kerjasama', 'plnpjbip', 'rekrut', 'tengah', 'semester', 'masuk', 'kes', 'php', 'depan', 'fokusin', 'kelas', 'kerjasama']","['biaya', 'kuliah', 'mahal', 'mahasiswa', 'masuk', 'kelas', 'kerjasama', 'plnpjbip', 'rekrut', 'tengah', 'semester', 'masuk', 'kes', 'php', 'depan', 'fokusin', 'kelas', 'kerjasama']"
Yan Adeline,1.0,"Pintu masuk dari gerbang depan maupun gerbang belakang jorok dan kumuh.

Pintu masuk gerbang depan: saluran got banyak sampah bau nyengat pas depan Klandata

Pintu masuk gerbang belakang: banyak aktivitas pembakaran sampah, penumpukan sampah berbulan-bulan hingga akhirnya saya harus laporkan ke Dinas Lingkungan Hidup maupun pihak kelurahan",pintu masuk gerbang gerbang jorok kumuh pintu masuk gerbang saluran got sampah bau nyengat pas klandata pintu masuk gerbang aktivitas pembakaran sampah penumpukan sampah berbulanbulan laporkan dinas lingkungan hidup kelurahan,pintu masuk gerbang gerbang jorok kumuh pintu masuk gerbang salur got sampah bau nyengat pas klandata pintu masuk gerbang aktivitas bakar sampah tumpu sampah berbulanbulan lapor dinas lingkung hidup lurah,"['pintu', 'masuk', 'gerbang', 'gerbang', 'jorok', 'kumuh', 'pintu', 'masuk', 'gerbang', 'salur', 'got', 'sampah', 'bau', 'nyengat', 'pas', 'klandata', 'pintu', 'masuk', 'gerbang', 'aktivitas', 'bakar', 'sampah', 'tumpu', 'sampah', 'berbulanbulan', 'lapor', 'dinas', 'lingkung', 'hidup', 'lurah']","['pintu', 'masuk', 'gerbang', 'gerbang', 'jorok', 'kumuh', 'pintu', 'masuk', 'gerbang', 'salur', 'got', 'sampah', 'bau', 'nyengat', 'pas', 'klandata', 'pintu', 'masuk', 'gerbang', 'aktivitas', 'bakar', 'sampah', 'tumpu', 'sampah', 'berbulanbulan', 'lapor', 'dinas', 'lingkung', 'hidup', 'lurah']"
Yulisya Zuriatni,5.0,"STT PLN sudah berubah status kelembagaan menjadi Institut Teknologi PLN. IT PLN sebagai kampus yang Modern, Unggul, dan Mandiri 👍🏻",stt pln berubah status kelembagaan institut teknologi pln it pln kampus modern unggul mandiri ,stt pln ubah status lembaga institut teknologi pln it pln kampus modern unggul mandiri,"['stt', 'pln', 'ubah', 'status', 'lembaga', 'institut', 'teknologi', 'pln', 'it', 'pln', 'kampus', 'modern', 'unggul', 'mandiri']","['stt', 'pln', 'ubah', 'status', 'lembaga', 'institut', 'teknologi', 'pln', 'it', 'pln', 'kampus', 'modern', 'unggul', 'mandiri']"
Indra Waliyuda,5.0,"Smga dibawah komando  Prof. Dr. Ir. Iwa Garniwa Mulyana K, MT. STT PLN yg telah resmi menjadi IT PLN, menjadi semakin maju..",smga dibawah komando prof ir iwa garniwa mulyana k mt stt pln resmi it pln maju,smga bawah komando prof ir iwa garniwa mulyana k mt stt pln resmi it pln maju,"['smga', 'bawah', 'komando', 'prof', 'ir', 'iwa', 'garniwa', 'mulyana', 'k', 'mt', 'stt', 'pln', 'resmi', 'it', 'pln', 'maju']","['smga', 'bawah', 'komando', 'prof', 'ir', 'iwa', 'garniwa', 'mulyana', 'k', 'mt', 'stt', 'pln', 'resmi', 'it', 'pln', 'maju']"
Grab Trisuseno,1.0,"Byk aturan sttpln Cengkareng Jakarta barat mahasiswa nya mau masuk aja wajib pakai helm klau kgk bawa di suruh parkir di luar gedung, padahal satpamnya harus tau yang gaji diakan dari mahasiswa. Dan anenya lagi saya mau anter anak aja enggak boleh masuk.",byk aturan sttpln cengkareng jakarta barat mahasiswa masuk wajib pakai helm klau kgk bawa suruh parkir gedung satpamnya tau gaji diakan mahasiswa anenya anter anak masuk,byk atur sttpln cengkareng jakarta barat mahasiswa masuk wajib pakai helm klau kgk bawa suruh parkir gedung satpam tau gaji dia mahasiswa anenya anter anak masuk,"['byk', 'atur', 'sttpln', 'cengkareng', 'jakarta', 'barat', 'mahasiswa', 'masuk', 'wajib', 'pakai', 'helm', 'klau', 'kgk', 'bawa', 'suruh', 'parkir', 'gedung', 'satpam', 'tau', 'gaji', 'dia', 'mahasiswa', 'anenya', 'anter', 'anak', 'masuk']","['byk', 'atur', 'sttpln', 'cengkareng', 'jakarta', 'barat', 'mahasiswa', 'masuk', 'wajib', 'pakai', 'helm', 'klau', 'kgk', 'bawa', 'suruh', 'parkir', 'gedung', 'satpam', 'tau', 'gaji', 'dia', 'mahasiswa', 'anenya', 'anter', 'anak', 'masuk']"
