name,rating,snippet,temp_text,stemmed_text,tokenized_text,cleaned_text
Rian Syahariany,5.0,"Kampus kereen...dosennya sangat support lokasi tenang , nyaman ,luas...
Bangga telah menjadi bagian alumni kampus ini.....Maju Terus ULBI",kampus kereendosennya support lokasi tenang nyaman luas bangga alumni kampus inimaju ulbi,kampus kereendosennya support lokasi tenang nyaman luas bangga alumni kampus inimaju ulbi,"['kampus', 'kereendosennya', 'support', 'lokasi', 'tenang', 'nyaman', 'luas', 'bangga', 'alumni', 'kampus', 'inimaju', 'ulbi']","['kampus', 'kereendosennya', 'support', 'lokasi', 'tenang', 'nyaman', 'luas', 'bangga', 'alumni', 'kampus', 'inimaju', 'ulbi']"
Ananda Hafizhah Putri,4.0,Kampus yang nyaman. Suasana cukup heteorgen karena mahasiswa berasal dari berbagai penjuru nusantara. Selamat atas perubahan nama STIMLOG menjadi ULBI. Semoga fasilitas semakin ditingkatkan,kampus nyaman suasana heteorgen mahasiswa berasal penjuru nusantara selamat perubahan nama stimlog ulbi semoga fasilitas ditingkatkan,kampus nyaman suasana heteorgen mahasiswa asal penjuru nusantara selamat ubah nama stimlog ulbi moga fasilitas tingkat,"['kampus', 'nyaman', 'suasana', 'heteorgen', 'mahasiswa', 'asal', 'penjuru', 'nusantara', 'selamat', 'ubah', 'nama', 'stimlog', 'ulbi', 'moga', 'fasilitas', 'tingkat']","['kampus', 'nyaman', 'suasana', 'heteorgen', 'mahasiswa', 'asal', 'penjuru', 'nusantara', 'selamat', 'ubah', 'nama', 'stimlog', 'ulbi', 'moga', 'fasilitas', 'tingkat']"
PRADYA PARAMITHA,1.0,"Ada salah satu dosen yg mempersulit mahasiswanya (adik saya) untuk lulus. Jd menurut saya kampus ini sangat tidak saya rekomendasikan.
Dosennya ini sibuk sendiri, sekalinya bimbingan materi ditambah terus. Mau sampai mana materi yg harus dimasukkan utk skripsi? Kemudian terkadang jika beliau sedang ada masalah, yg kena imbas adalah mahasiswanya. Dosen macam apa seperti itu? Biaya kuliah pun mahal. Apa dia peduli? Lalu semakin lama adik saya lulus maka kesempatan dia bekerja dan berkarir berkurang. Siapa yg tanggungjawab? Mohon maaf saya memang sedang sangat kesal sekali. Tp yg mau kuliah kesini mending pikir2 lagi. Brgkali ketemu dengan dosen menyebalkan tersebut",salah dosen mempersulit mahasiswanya adik lulus kampus rekomendasikan dosennya sibuk sekalinya bimbingan materi ditambah materi dimasukkan skripsi terkadang beliau kena imbas mahasiswanya dosen biaya kuliah mahal peduli adik lulus kesempatan berkarir berkurang tanggungjawab mohon maaf kesal kuliah kesini mending pikir2 brgkali ketemu dosen menyebalkan,salah dosen sulit mahasiswa adik lulus kampus rekomendasi dosen sibuk sekali bimbing materi tambah materi masuk skripsi terkadang beliau kena imbas mahasiswa dosen biaya kuliah mahal peduli adik lulus sempat berkarir kurang tanggungjawab mohon maaf kesal kuliah kesini mending pikir2 brgkali ketemu dosen sebal,"['salah', 'dosen', 'sulit', 'mahasiswa', 'adik', 'lulus', 'kampus', 'rekomendasi', 'dosen', 'sibuk', 'sekali', 'bimbing', 'materi', 'tambah', 'materi', 'masuk', 'skripsi', 'terkadang', 'beliau', 'kena', 'imbas', 'mahasiswa', 'dosen', 'biaya', 'kuliah', 'mahal', 'peduli', 'adik', 'lulus', 'sempat', 'berkarir', 'kurang', 'tanggungjawab', 'mohon', 'maaf', 'kesal', 'kuliah', 'kesini', 'mending', 'pikir2', 'brgkali', 'ketemu', 'dosen', 'sebal']","['salah', 'dosen', 'sulit', 'mahasiswa', 'adik', 'lulus', 'kampus', 'rekomendasi', 'dosen', 'sibuk', 'sekali', 'bimbing', 'materi', 'tambah', 'materi', 'masuk', 'skripsi', 'terkadang', 'beliau', 'kena', 'imbas', 'mahasiswa', 'dosen', 'biaya', 'kuliah', 'mahal', 'peduli', 'adik', 'lulus', 'sempat', 'berkarir', 'kurang', 'tanggungjawab', 'mohon', 'maaf', 'kesal', 'kuliah', 'kesini', 'mending', 'pikir2', 'brgkali', 'ketemu', 'dosen', 'sebal']"
Juli Amirah Nasution,5.0,Sekolah Tinggi pertama di Indonesia yang berkonsentrasi dibidang Logistik. Terdiri atas 2 jurusan Manajemen Logistik dan Manajemen Transportasi (Logistik). Lulusannya akan menyandang title S. Log yang saat ini hanya diberikan oleh STIMLOG. Kampusnya saat ini masih satu tempat dengan saudara seyayasannya yaitu Politeknik Pos. Kampusnya asri dan udaranya masih sejuk walaupun masih berada di tengah kota Bandung.,sekolah indonesia berkonsentrasi dibidang logistik 2 jurusan manajemen logistik manajemen transportasi logistik lulusannya menyandang title s log stimlog kampusnya saudara seyayasannya politeknik pos kampusnya asri udaranya sejuk kota bandung,sekolah indonesia konsentrasi bidang logistik 2 jurus manajemen logistik manajemen transportasi logistik lulus sandang title s log stimlog kampus saudara yayasan politeknik pos kampus asri udara sejuk kota bandung,"['sekolah', 'indonesia', 'konsentrasi', 'bidang', 'logistik', '2', 'jurus', 'manajemen', 'logistik', 'manajemen', 'transportasi', 'logistik', 'lulus', 'sandang', 'title', 's', 'log', 'stimlog', 'kampus', 'saudara', 'yayasan', 'politeknik', 'pos', 'kampus', 'asri', 'udara', 'sejuk', 'kota', 'bandung']","['sekolah', 'indonesia', 'konsentrasi', 'bidang', 'logistik', '2', 'jurus', 'manajemen', 'logistik', 'manajemen', 'transportasi', 'logistik', 'lulus', 'sandang', 'title', 's', 'log', 'stimlog', 'kampus', 'saudara', 'yayasan', 'politeknik', 'pos', 'kampus', 'asri', 'udara', 'sejuk', 'kota', 'bandung']"
Ayah Endah,5.0,"Kampus nya luas, bersih dan bagus. Udaranya sejuk.",kampus luas bersih bagus udaranya sejuk,kampus luas bersih bagus udara sejuk,"['kampus', 'luas', 'bersih', 'bagus', 'udara', 'sejuk']","['kampus', 'luas', 'bersih', 'bagus', 'udara', 'sejuk']"
KDKW CENTER KOTA MOJOKERTO (Wa jek pak moh yusri),3.0,Sepi kuliah belum berjalan secara tatap muka karena effek corona,sepi kuliah berjalan tatap muka effek corona,sepi kuliah jalan tatap muka effek corona,"['sepi', 'kuliah', 'jalan', 'tatap', 'muka', 'effek', 'corona']","['sepi', 'kuliah', 'jalan', 'tatap', 'muka', 'effek', 'corona']"
Denis Erlangga Maulana,5.0,"Adem,bersih,luas,cocok untuk mahasiswa",adembersihluascocok mahasiswa,adembersihluascocok mahasiswa,"['adembersihluascocok', 'mahasiswa']","['adembersihluascocok', 'mahasiswa']"
Rosid S,5.0,"Sejuk, tempat tepat untuk belajar",sejuk belajar,sejuk ajar,"['sejuk', 'ajar']","['sejuk', 'ajar']"
lina lusiana,5.0,Saya sih cm di luar kampusnya aja.. G msk sih.. Krn memnag tujuannya bkn mau k kampus orange.. Tp kelihatannya  kampusnya  ok lho,sih kampusnya g msk sih memnag tujuannya k kampus orange kampusnya ok lho,sih kampus g msk sih memnag tuju k kampus orange kampus ok lho,"['sih', 'kampus', 'g', 'msk', 'sih', 'memnag', 'tuju', 'k', 'kampus', 'orange', 'kampus', 'ok', 'lho']","['sih', 'kampus', 'g', 'msk', 'sih', 'memnag', 'tuju', 'k', 'kampus', 'orange', 'kampus', 'ok', 'lho']"
M. J. S. Priatna,3.0,"Karena letaknya yang sama dengan poltekpos, tentunya kampus ini juga sama suka jadi biang kerok kemacetan di jam berangkat ngampus.",letaknya poltekpos kampus suka biang kerok kemacetan jam berangkat ngampus,letak poltekpos kampus suka biang kerok macet jam berangkat ngampus,"['letak', 'poltekpos', 'kampus', 'suka', 'biang', 'kerok', 'macet', 'jam', 'berangkat', 'ngampus']","['letak', 'poltekpos', 'kampus', 'suka', 'biang', 'kerok', 'macet', 'jam', 'berangkat', 'ngampus']"
