name,rating,snippet,temp_text,stemmed_text,tokenized_text,cleaned_text
Daryl Cokelat,4.0,"Kampus swasta  di area yg padat, luas sekali tp sayang penataan  parkir utk tamu terutama motor kurang nyaman, krn masuk ketempat parkir hrs pakai kartu sdg kan tamu gak punya dan tdk ada satpam ditempat yg bisa memberikan bantuan
Petunjuk arah dlm kampus juga kurang sehingga hrs putar"" Utk cari gedung administrasinya
Pelayanan ramah hanya keluhannya di tempat parkirnya",kampus swasta area padat luas sayang penataan parkir tamu motor nyaman masuk ketempat parkir pakai kartu sdg tamu satpam ditempat bantuan petunjuk arah kampus putar cari gedung administrasinya pelayanan ramah keluhannya parkirnya,kampus swasta area padat luas sayang tata parkir tamu motor nyaman masuk tempat parkir pakai kartu sdg tamu satpam tempat bantu tunjuk arah kampus putar cari gedung administrasi layan ramah keluh parkir,"['kampus', 'swasta', 'area', 'padat', 'luas', 'sayang', 'tata', 'parkir', 'tamu', 'motor', 'nyaman', 'masuk', 'tempat', 'parkir', 'pakai', 'kartu', 'sdg', 'tamu', 'satpam', 'tempat', 'bantu', 'tunjuk', 'arah', 'kampus', 'putar', 'cari', 'gedung', 'administrasi', 'layan', 'ramah', 'keluh', 'parkir']","['kampus', 'swasta', 'area', 'padat', 'luas', 'sayang', 'tata', 'parkir', 'tamu', 'motor', 'nyaman', 'masuk', 'tempat', 'parkir', 'pakai', 'kartu', 'sdg', 'tamu', 'satpam', 'tempat', 'bantu', 'tunjuk', 'arah', 'kampus', 'putar', 'cari', 'gedung', 'administrasi', 'layan', 'ramah', 'keluh', 'parkir']"
Aries Indanarto,1.0,"Siang hari ini hadir wisuda anak. Tempat wisuda kurang worted, duduknya sempit & panas ac kurang. Kudunya gedung model teather. Wiss..",siang hadir wisuda anak wisuda worted duduknya sempit panas ac kudunya gedung model teather wiss,siang hadir wisuda anak wisuda worted duduk sempit panas ac kudu gedung model teather wiss,"['siang', 'hadir', 'wisuda', 'anak', 'wisuda', 'worted', 'duduk', 'sempit', 'panas', 'ac', 'kudu', 'gedung', 'model', 'teather', 'wiss']","['siang', 'hadir', 'wisuda', 'anak', 'wisuda', 'worted', 'duduk', 'sempit', 'panas', 'ac', 'kudu', 'gedung', 'model', 'teather', 'wiss']"
mfft_27,5.0,"jangan lupa follow  Ig : mfft_27
trmksh 🙏🤩",lupa follow ig mfft27 trmksh ,lupa follow ig mfft27 trmksh,"['lupa', 'follow', 'ig', 'mfft27', 'trmksh']","['lupa', 'follow', 'ig', 'mfft27', 'trmksh']"
Fadhil Muhammad,5.0,"Kampus swasta ternama, lokasi di bojongsoang kabupaten bandung, fasilitas kampus bagus dan lengkap",kampus swasta ternama lokasi bojongsoang kabupaten bandung fasilitas kampus bagus lengkap,kampus swasta nama lokasi bojongsoang kabupaten bandung fasilitas kampus bagus lengkap,"['kampus', 'swasta', 'nama', 'lokasi', 'bojongsoang', 'kabupaten', 'bandung', 'fasilitas', 'kampus', 'bagus', 'lengkap']","['kampus', 'swasta', 'nama', 'lokasi', 'bojongsoang', 'kabupaten', 'bandung', 'fasilitas', 'kampus', 'bagus', 'lengkap']"
Rachmat Hidayar,1.0,"Yang terhormat bapak kepala satpam dan manajemen Telkom
Dimohon buat peraturan yang sehat bijaksana
Bebaskan kami (ojol) masuk motor untuk mengantarkan gofood ke asrama kalo suruh jalan kaki dari parkiran ke asrama terlebih ke Kedung ABCD dan 678 itu sangat kejauhan menghambat waktu kami (ojol) yang lagi usaha
Mohon pengertian nya 🙏
Samakan kami (ojol) dengan yang lainnya delivery,kurir, laundry ko bisa masuk kami (ojol) ko dilarang padahal kita sama2 lagi usaha, sekali lagi mohon pengertian nya , terimakasih 🙏",terhormat kepala satpam manajemen telkom dimohon peraturan sehat bijaksana bebaskan ojol masuk motor mengantarkan gofood asrama suruh jalan kaki parkiran asrama kedung abcd 678 kejauhan menghambat ojol usaha mohon pengertian samakan ojol deliverykurir laundry ko masuk ojol ko dilarang sama2 usaha mohon pengertian terimakasih ,hormat kepala satpam manajemen telkom mohon atur sehat bijaksana bebas ojol masuk motor antar gofood asrama suruh jalan kaki parkir asrama kedung abcd 678 jauh hambat ojol usaha mohon erti sama ojol deliverykurir laundry ko masuk ojol ko larang sama2 usaha mohon erti terimakasih,"['hormat', 'kepala', 'satpam', 'manajemen', 'telkom', 'mohon', 'atur', 'sehat', 'bijaksana', 'bebas', 'ojol', 'masuk', 'motor', 'antar', 'gofood', 'asrama', 'suruh', 'jalan', 'kaki', 'parkir', 'asrama', 'kedung', 'abcd', '678', 'jauh', 'hambat', 'ojol', 'usaha', 'mohon', 'erti', 'sama', 'ojol', 'deliverykurir', 'laundry', 'ko', 'masuk', 'ojol', 'ko', 'larang', 'sama2', 'usaha', 'mohon', 'erti', 'terimakasih']","['hormat', 'kepala', 'satpam', 'manajemen', 'telkom', 'mohon', 'atur', 'sehat', 'bijaksana', 'bebas', 'ojol', 'masuk', 'motor', 'antar', 'gofood', 'asrama', 'suruh', 'jalan', 'kaki', 'parkir', 'asrama', 'kedung', 'abcd', '678', 'jauh', 'hambat', 'ojol', 'usaha', 'mohon', 'erti', 'sama', 'ojol', 'deliverykurir', 'laundry', 'ko', 'masuk', 'ojol', 'ko', 'larang', 'sama2', 'usaha', 'mohon', 'erti', 'terimakasih']"
Gelar Tanaya Risno Okta Pamungkas,3.0,"Securitynya disana engga ramah ya, terus pada sambil ngerokok tugasnya.

Ya saya juga orang kerja soalnya, sebisa mungkin professional. Kalo lagi kerja kurang kurangilah ngerokok.

Terus mungkin harus belajar cara ngehadepin orang, meskipun bukan dosen tetep harus bisa ramah tamah. Menegur dengan cara paling tepat.",securitynya disana engga ramah ya ngerokok tugasnya ya orang kerja sebisa professional kerja kurangilah ngerokok belajar ngehadepin orang dosen tetep ramah tamah menegur,securitynya sana engga ramah ya ngerokok tugas ya orang kerja bisa professional kerja kurang ngerokok ajar ngehadepin orang dosen tetep ramah tamah tegur,"['securitynya', 'sana', 'engga', 'ramah', 'ya', 'ngerokok', 'tugas', 'ya', 'orang', 'kerja', 'bisa', 'professional', 'kerja', 'kurang', 'ngerokok', 'ajar', 'ngehadepin', 'orang', 'dosen', 'tetep', 'ramah', 'tamah', 'tegur']","['securitynya', 'sana', 'engga', 'ramah', 'ya', 'ngerokok', 'tugas', 'ya', 'orang', 'kerja', 'bisa', 'professional', 'kerja', 'kurang', 'ngerokok', 'ajar', 'ngehadepin', 'orang', 'dosen', 'tetep', 'ramah', 'tamah', 'tegur']"
Yuhardin SSI,5.0,"2016, Bisa Bikin Brand, Terimakasih Ilmunya Pak Bi",2016 bikin brand terimakasih ilmunya bi,2016 bikin brand terimakasih ilmu bi,"['2016', 'bikin', 'brand', 'terimakasih', 'ilmu', 'bi']","['2016', 'bikin', 'brand', 'terimakasih', 'ilmu', 'bi']"
Yadi setiadi,1.0,ATURA  SIH ATURAN MASA DRIVER ONLINE OJOL MASUK HARUS JALAN KAKI TAPI KURIR BAWA MTR JAUH LEMPANG TEH ngotak dikit,atura sih aturan driver online ojol masuk jalan kaki kurir bawa mtr lempang teh ngotak dikit,atura sih atur driver online ojol masuk jalan kaki kurir bawa mtr lempang teh ngotak dikit,"['atura', 'sih', 'atur', 'driver', 'online', 'ojol', 'masuk', 'jalan', 'kaki', 'kurir', 'bawa', 'mtr', 'lempang', 'teh', 'ngotak', 'dikit']","['atura', 'sih', 'atur', 'driver', 'online', 'ojol', 'masuk', 'jalan', 'kaki', 'kurir', 'bawa', 'mtr', 'lempang', 'teh', 'ngotak', 'dikit']"
Muhammad Iqbal Winahyu,1.0,"WASTE TIME BANGET DI SURUH JALAN KE ASRAMA PUTRI, PADAHAL MAU ANTAR BARANG.
GILIRAN KERABAT SEKURITI BISA BAWA MOTOR KE DALAM, KAN BANGKEEE....

KALAU MAU PAKET DAN MAKANAN TITIP DI SEKURITI DAN ANTAR KEDALAM NYA DI ANTAR SEKURITI,",waste time banget suruh jalan asrama putri barang giliran kerabat sekuriti bawa motor bangkeee paket makanan titip sekuriti kedalam sekuriti,waste time banget suruh jalan asrama putri barang gilir kerabat sekuriti bawa motor bangkeee paket makan titip sekuriti dalam sekuriti,"['waste', 'time', 'banget', 'suruh', 'jalan', 'asrama', 'putri', 'barang', 'gilir', 'kerabat', 'sekuriti', 'bawa', 'motor', 'bangkeee', 'paket', 'makan', 'titip', 'sekuriti', 'dalam', 'sekuriti']","['waste', 'time', 'banget', 'suruh', 'jalan', 'asrama', 'putri', 'barang', 'gilir', 'kerabat', 'sekuriti', 'bawa', 'motor', 'bangkeee', 'paket', 'makan', 'titip', 'sekuriti', 'dalam', 'sekuriti']"
Betha AF,5.0,Kampus swasta terbaik di Indonesia. Kereeen...,kampus swasta terbaik indonesia kereeen,kampus swasta baik indonesia kereeen,"['kampus', 'swasta', 'baik', 'indonesia', 'kereeen']","['kampus', 'swasta', 'baik', 'indonesia', 'kereeen']"
