name,rating,snippet,temp_text,stemmed_text,tokenized_text,cleaned_text
Te Ir,4.0,"Universitas yang menjadi bagian Pertamina (persero) dan didukung tenaga pengajar langsung dari praktisi di Pertamina grup.
Kantinnya nyaman dengan menerapkan CLSR dan safety yang ketat.
Kampus serasa kantor dengan fasilitas olahraga yang mumpuni👍",universitas pertamina persero didukung tenaga pengajar langsung praktisi pertamina grup kantinnya nyaman menerapkan clsr safety ketat kampus serasa kantor fasilitas olahraga mumpuni ,universitas pertamina persero dukung tenaga ajar langsung praktisi pertamina grup kantin nyaman terap clsr safety ketat kampus serasa kantor fasilitas olahraga mumpuni,"['universitas', 'pertamina', 'persero', 'dukung', 'tenaga', 'ajar', 'langsung', 'praktisi', 'pertamina', 'grup', 'kantin', 'nyaman', 'terap', 'clsr', 'safety', 'ketat', 'kampus', 'serasa', 'kantor', 'fasilitas', 'olahraga', 'mumpuni']","['universitas', 'pertamina', 'persero', 'dukung', 'tenaga', 'ajar', 'langsung', 'praktisi', 'pertamina', 'grup', 'kantin', 'nyaman', 'terap', 'clsr', 'safety', 'ketat', 'kampus', 'serasa', 'kantor', 'fasilitas', 'olahraga', 'mumpuni']"
RHDN,4.0,"Kampus nya cukup besar, lokasi pinggir jalan simprug dan byk fasilitas nya
Dari parkir cukup luas lalu ada kantin 2 lantai yg ok bgt, menu byk pilihan nya, enak"" lagi
ada kolam renang,  GOR dan yg pasti ada mushola dan masjid
Ada residence jg yg bisa di sewa utk umum dan terakhir, di area paling depan jg di sewakan utk acara pernikahan",kampus lokasi pinggir jalan simprug byk fasilitas parkir luas kantin 2 lantai ok banget menu byk pilihan enak kolam renang gor mushola masjid residence sewa area sewakan acara pernikahan,kampus lokasi pinggir jalan simprug byk fasilitas parkir luas kantin 2 lantai ok banget menu byk pilih enak kolam renang gor mushola masjid residence sewa area sewa acara nikah,"['kampus', 'lokasi', 'pinggir', 'jalan', 'simprug', 'byk', 'fasilitas', 'parkir', 'luas', 'kantin', '2', 'lantai', 'ok', 'banget', 'menu', 'byk', 'pilih', 'enak', 'kolam', 'renang', 'gor', 'mushola', 'masjid', 'residence', 'sewa', 'area', 'sewa', 'acara', 'nikah']","['kampus', 'lokasi', 'pinggir', 'jalan', 'simprug', 'byk', 'fasilitas', 'parkir', 'luas', 'kantin', '2', 'lantai', 'ok', 'banget', 'menu', 'byk', 'pilih', 'enak', 'kolam', 'renang', 'gor', 'mushola', 'masjid', 'residence', 'sewa', 'area', 'sewa', 'acara', 'nikah']"
Mega Safitri,3.0,"Kami pilih kampus ini dg harapan setelah lulus bs tersalurkan di pertamina/sejenisnya.
Alhamdulillah wal masuk sosialisasinya alumni akan disalurkan.baik di pertamina atopun anak perusahaan.
Qodarullah dr lulus th 2021 anak sy ternyt harus cari kerja sendiri n tdk ada penyaluran.
Apakah ada bantuan/referensi dr kampus untuk para alumni agar mendapatkan pekerjaan yg sesuai dg.prodi yg dipilih di kampus ini?
Trimakasih.",pilih kampus harapan lulus tersalurkan pertaminasejenisnya alhamdulillah wal masuk sosialisasinya alumni disalurkanbaik pertamina atopun anak perusahaan qodarullah lulus th 2021 anak ternyt cari kerja n penyaluran bantuanreferensi kampus alumni pekerjaan sesuai dgprodi dipilih kampus trimakasih,pilih kampus harap lulus salur pertaminasejenisnya alhamdulillah wal masuk sosialisasi alumni disalurkanbaik pertamina ato anak usaha qodarullah lulus th 2021 anak ternyt cari kerja n salur bantuanreferensi kampus alumni kerja sesuai dgprodi pilih kampus trimakasih,"['pilih', 'kampus', 'harap', 'lulus', 'salur', 'pertaminasejenisnya', 'alhamdulillah', 'wal', 'masuk', 'sosialisasi', 'alumni', 'disalurkanbaik', 'pertamina', 'ato', 'anak', 'usaha', 'qodarullah', 'lulus', 'th', '2021', 'anak', 'ternyt', 'cari', 'kerja', 'n', 'salur', 'bantuanreferensi', 'kampus', 'alumni', 'kerja', 'sesuai', 'dgprodi', 'pilih', 'kampus', 'trimakasih']","['pilih', 'kampus', 'harap', 'lulus', 'salur', 'pertaminasejenisnya', 'alhamdulillah', 'wal', 'masuk', 'sosialisasi', 'alumni', 'disalurkanbaik', 'pertamina', 'ato', 'anak', 'usaha', 'qodarullah', 'lulus', 'th', '2021', 'anak', 'ternyt', 'cari', 'kerja', 'n', 'salur', 'bantuanreferensi', 'kampus', 'alumni', 'kerja', 'sesuai', 'dgprodi', 'pilih', 'kampus', 'trimakasih']"
Muhammad Zidane A,5.0,"walaupun terbilang masih baru, tetapi kampus ini sudah mendapat akreditasi unggul, dan masuk peringkat kampus swasta terbaik di jakarta. Lingkungannya sangat nyaman, banyak kursi di selasar jadi klo capek tinggal duduk, musholla nya juga banyak, di gor ABC ada 1, di gedung griya legita ada di setiap lantainya (lantai 6 dan 8 untuk laki-laki, lantai 5 dan 7 untuk perempuan), di lantai 1 ada cafe thumbs up, lantai 9 ada perpustakaan.",terbilang kampus akreditasi unggul masuk peringkat kampus swasta terbaik jakarta lingkungannya nyaman kursi selasar klo capek tinggal duduk musholla gor abc 1 gedung griya legita lantainya lantai 6 8 lakilaki lantai 5 7 perempuan lantai 1 cafe thumbs up lantai 9 perpustakaan,bilang kampus akreditasi unggul masuk peringkat kampus swasta baik jakarta lingkung nyaman kursi selasar klo capek tinggal duduk musholla gor abc 1 gedung griya legita lantai lantai 6 8 lakilaki lantai 5 7 perempuan lantai 1 cafe thumbs up lantai 9 pustaka,"['bilang', 'kampus', 'akreditasi', 'unggul', 'masuk', 'peringkat', 'kampus', 'swasta', 'baik', 'jakarta', 'lingkung', 'nyaman', 'kursi', 'selasar', 'klo', 'capek', 'tinggal', 'duduk', 'musholla', 'gor', 'abc', '1', 'gedung', 'griya', 'legita', 'lantai', 'lantai', '6', '8', 'lakilaki', 'lantai', '5', '7', 'perempuan', 'lantai', '1', 'cafe', 'thumbs', 'up', 'lantai', '9', 'pustaka']","['bilang', 'kampus', 'akreditasi', 'unggul', 'masuk', 'peringkat', 'kampus', 'swasta', 'baik', 'jakarta', 'lingkung', 'nyaman', 'kursi', 'selasar', 'klo', 'capek', 'tinggal', 'duduk', 'musholla', 'gor', 'abc', '1', 'gedung', 'griya', 'legita', 'lantai', 'lantai', '6', '8', 'lakilaki', 'lantai', '5', '7', 'perempuan', 'lantai', '1', 'cafe', 'thumbs', 'up', 'lantai', '9', 'pustaka']"
Fahmi Amhar,4.0,"Campus ini memiliki sarana yang cukup lengkap, dan kalau dikelola dengan baik tentu akan menghasilkan mahasiswa yang berprestasi.  Namun memang masih ada yang harus ditingkatkan di sana sini, seperti mushola yang mestinya ada di tiap gedung, sehingga untuk sholat bagi tamu tidak harus keluar gedung yang cukup jauh.",campus memiliki sarana lengkap dikelola menghasilkan mahasiswa berprestasi ditingkatkan mushola mestinya gedung sholat tamu gedung,campus milik sarana lengkap kelola hasil mahasiswa prestasi tingkat mushola mesti gedung sholat tamu gedung,"['campus', 'milik', 'sarana', 'lengkap', 'kelola', 'hasil', 'mahasiswa', 'prestasi', 'tingkat', 'mushola', 'mesti', 'gedung', 'sholat', 'tamu', 'gedung']","['campus', 'milik', 'sarana', 'lengkap', 'kelola', 'hasil', 'mahasiswa', 'prestasi', 'tingkat', 'mushola', 'mesti', 'gedung', 'sholat', 'tamu', 'gedung']"
ares rahmawan,5.0,"Tiket nya 75 ribu utk Olympic Size Pool. Clean water, Wash room. Tempat sampah : kurang banyak/tersebar/terlihat. Smoga bisa terus terjaga kualitas & kebersihannya.",tiket 75 ribu olympic size pool clean water wash room sampah banyaktersebarterlihat smoga terjaga kualitas kebersihannya,tiket 75 ribu olympic size pool clean water wash room sampah banyaktersebarterlihat smoga jaga kualitas bersih,"['tiket', '75', 'ribu', 'olympic', 'size', 'pool', 'clean', 'water', 'wash', 'room', 'sampah', 'banyaktersebarterlihat', 'smoga', 'jaga', 'kualitas', 'bersih']","['tiket', '75', 'ribu', 'olympic', 'size', 'pool', 'clean', 'water', 'wash', 'room', 'sampah', 'banyaktersebarterlihat', 'smoga', 'jaga', 'kualitas', 'bersih']"
Frenda Fawzia,5.0,Dulu terkenalnya dengan nama Pertamina Training Centre namun sejak 2016 berubah menjadi universitas dan utk umum.,terkenalnya nama pertamina training centre 2016 berubah universitas,kenal nama pertamina training centre 2016 ubah universitas,"['kenal', 'nama', 'pertamina', 'training', 'centre', '2016', 'ubah', 'universitas']","['kenal', 'nama', 'pertamina', 'training', 'centre', '2016', 'ubah', 'universitas']"
Nanda,5.0,"Kampus yang bagus, fasilitas 90% lengkap, dekat dengan jalan raya, dengan tampilan warna baru, memebrikan smangat baru",kampus bagus fasilitas 90 lengkap jalan raya tampilan warna memebrikan smangat,kampus bagus fasilitas 90 lengkap jalan raya tampil warna memebrikan smangat,"['kampus', 'bagus', 'fasilitas', '90', 'lengkap', 'jalan', 'raya', 'tampil', 'warna', 'memebrikan', 'smangat']","['kampus', 'bagus', 'fasilitas', '90', 'lengkap', 'jalan', 'raya', 'tampil', 'warna', 'memebrikan', 'smangat']"
Reginaldi,5.0,"baguss universitasnyaa ,salam buat angel anak teknik darii Jawa Barat",baguss universitasnyaa salam angel anak teknik darii jawa barat,baguss universitasnyaa salam angel anak teknik dari jawa barat,"['baguss', 'universitasnyaa', 'salam', 'angel', 'anak', 'teknik', 'dari', 'jawa', 'barat']","['baguss', 'universitasnyaa', 'salam', 'angel', 'anak', 'teknik', 'dari', 'jawa', 'barat']"
Caesar,5.0,Area Kampus Sangat Ramah Lingkungan. nuansa asri dengan taman dan banyaknya pepohonan. suasana belajar kondusif dan tenang. Maju Terus Universitas Pertamina,area kampus ramah lingkungan nuansa asri taman banyaknya pepohonan suasana belajar kondusif tenang maju universitas pertamina,area kampus ramah lingkung nuansa asri taman banyak pohon suasana ajar kondusif tenang maju universitas pertamina,"['area', 'kampus', 'ramah', 'lingkung', 'nuansa', 'asri', 'taman', 'banyak', 'pohon', 'suasana', 'ajar', 'kondusif', 'tenang', 'maju', 'universitas', 'pertamina']","['area', 'kampus', 'ramah', 'lingkung', 'nuansa', 'asri', 'taman', 'banyak', 'pohon', 'suasana', 'ajar', 'kondusif', 'tenang', 'maju', 'universitas', 'pertamina']"
